<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;D;20181212;000000;190.4500000
SBER;D;20181213;000000;189.1700000
SBER;D;20181214;000000;184.9300000
SBER;D;20181217;000000;182.3000000
SBER;D;20181218;000000;186.6000000
SBER;D;20181219;000000;188.8500000
SBER;D;20181220;000000;189.3000000
SBER;D;20181221;000000;186.7900000
SBER;D;20181224;000000;184.3000000
SBER;D;20181225;000000;183.3000000
SBER;D;20181226;000000;183.4000000
SBER;D;20181227;000000;185.0000000
SBER;D;20181228;000000;186.5000000
SBER;D;20181229;000000;186.3000000
SBER;D;20190103;000000;186.9900000
SBER;D;20190104;000000;190.9900000
SBER;D;20190108;000000;191.2400000
SBER;D;20190109;000000;197.0000000
SBER;D;20190110;000000;196.7500000
SBER;D;20190111;000000;196.8000000
SBER;D;20190114;000000;196.8000000
SBER;D;20190115;000000;198.0000000
SBER;D;20190116;000000;201.2600000
SBER;D;20190117;000000;203.3200000
SBER;D;20190118;000000;208.4400000
SBER;D;20190121;000000;207.1700000
SBER;D;20190122;000000;207.9500000
SBER;D;20190123;000000;210.4000000
SBER;D;20190124;000000;212.2000000
SBER;D;20190125;000000;212.0000000
SBER;D;20190128;000000;209.7000000
SBER;D;20190129;000000;213.6100000
SBER;D;20190130;000000;213.1400000
SBER;D;20190131;000000;217.9000000
SBER;D;20190201;000000;216.2900000
SBER;D;20190204;000000;215.5000000
SBER;D;20190205;000000;217.8500000
SBER;D;20190206;000000;216.5900000
SBER;D;20190207;000000;211.0100000
SBER;D;20190208;000000;210.4300000
SBER;D;20190211;000000;214.0000000
SBER;D;20190212;000000;219.1000000
SBER;D;20190213;000000;213.9000000
SBER;D;20190214;000000;204.4300000
SBER;D;20190215;000000;208.0000000
SBER;D;20190218;000000;204.1900000
SBER;D;20190219;000000;202.0800000
SBER;D;20190220;000000;206.8900000
SBER;D;20190221;000000;203.4100000
SBER;D;20190222;000000;205.2500000
SBER;D;20190225;000000;205.8600000
SBER;D;20190226;000000;205.8000000
SBER;D;20190227;000000;205.4000000
SBER;D;20190228;000000;207.8000000
SBER;D;20190301;000000;206.5400000
SBER;D;20190304;000000;205.5000000
SBER;D;20190305;000000;202.9200000
SBER;D;20190306;000000;205.0000000
SBER;D;20190307;000000;203.9500000
SBER;D;20190311;000000;205.2500000
SBER;D;20190312;000000;205.1000000
SBER;D;20190313;000000;206.0000000
SBER;D;20190314;000000;203.6600000
SBER;D;20190315;000000;203.5500000
SBER;D;20190318;000000;205.9000000
SBER;D;20190319;000000;207.7000000
SBER;D;20190320;000000;209.8000000
SBER;D;20190321;000000;210.6100000
SBER;D;20190322;000000;207.7000000
SBER;D;20190325;000000;214.0000000
SBER;D;20190326;000000;218.0000000
SBER;D;20190327;000000;214.1000000
SBER;D;20190328;000000;215.0700000
SBER;D;20190329;000000;214.4200000
SBER;D;20190401;000000;217.7000000
SBER;D;20190402;000000;218.2300000
